app_turned_on,app_users_fraction,rng_seed,study_name,iteration,predicted_relative_transmission_occupation,predicted_relative_transmission_random,predicted_test_result_wait,manual_trace_on,manual_trace_delay,manual_trace_n_workers_per_100k,predicted_lockdown_occupation_multiplier_primary_network,predicted_lockdown_occupation_multiplier_secondary_network,manual_trace_exclude_app_users
1,0.0,0,en_0.0_0,0,,,,,,,,,
1,0.0,10,en_0.0_1,1,,,,,,,,,
1,0.0,20,en_0.0_2,2,,,,,,,,,
1,0.0,30,en_0.0_3,3,,,,,,,,,
1,0.0,40,en_0.0_4,4,,,,,,,,,
1,0.0,50,en_0.0_5,5,,,,,,,,,
1,0.0,60,en_0.0_6,6,,,,,,,,,
1,0.0,70,en_0.0_7,7,,,,,,,,,
1,0.0,80,en_0.0_8,8,,,,,,,,,
1,0.0,90,en_0.0_9,9,,,,,,,,,
1,0.2,0,en_0.2_0,0,,,,,,,,,
1,0.2,10,en_0.2_1,1,,,,,,,,,
1,0.2,20,en_0.2_2,2,,,,,,,,,
1,0.2,30,en_0.2_3,3,,,,,,,,,
1,0.2,40,en_0.2_4,4,,,,,,,,,
1,0.2,50,en_0.2_5,5,,,,,,,,,
1,0.2,60,en_0.2_6,6,,,,,,,,,
1,0.2,70,en_0.2_7,7,,,,,,,,,
1,0.2,80,en_0.2_8,8,,,,,,,,,
1,0.2,90,en_0.2_9,9,,,,,,,,,
1,0.4,0,en_0.4_0,0,,,,,,,,,
1,0.4,10,en_0.4_1,1,,,,,,,,,
1,0.4,20,en_0.4_2,2,,,,,,,,,
1,0.4,30,en_0.4_3,3,,,,,,,,,
1,0.4,40,en_0.4_4,4,,,,,,,,,
1,0.4,50,en_0.4_5,5,,,,,,,,,
1,0.4,60,en_0.4_6,6,,,,,,,,,
1,0.4,70,en_0.4_7,7,,,,,,,,,
1,0.4,80,en_0.4_8,8,,,,,,,,,
1,0.4,90,en_0.4_9,9,,,,,,,,,
1,0.6,0,en_0.6_0,0,,,,,,,,,
1,0.6,10,en_0.6_1,1,,,,,,,,,
1,0.6,20,en_0.6_2,2,,,,,,,,,
1,0.6,30,en_0.6_3,3,,,,,,,,,
1,0.6,40,en_0.6_4,4,,,,,,,,,
1,0.6,50,en_0.6_5,5,,,,,,,,,
1,0.6,60,en_0.6_6,6,,,,,,,,,
1,0.6,70,en_0.6_7,7,,,,,,,,,
1,0.6,80,en_0.6_8,8,,,,,,,,,
1,0.6,90,en_0.6_9,9,,,,,,,,,
1,0.8,0,en_0.8_0,0,,,,,,,,,
1,0.8,10,en_0.8_1,1,,,,,,,,,
1,0.8,20,en_0.8_2,2,,,,,,,,,
1,0.8,30,en_0.8_3,3,,,,,,,,,
1,0.8,40,en_0.8_4,4,,,,,,,,,
1,0.8,50,en_0.8_5,5,,,,,,,,,
1,0.8,60,en_0.8_6,6,,,,,,,,,
1,0.8,70,en_0.8_7,7,,,,,,,,,
1,0.8,80,en_0.8_8,8,,,,,,,,,
