county_fips,n_seed_infection,infectious_rate,seeding_date_delta,lockdown_scalars,changepoint_scalars,population_0_9,population_10_19,population_20_29,population_30_39,population_40_49,population_50_59,population_60_69,population_70_79,population_80,n_total,household_size_1,household_size_2,household_size_3,household_size_4,household_size_5,household_size_6
53001,,,,,,9157,9785,4436,5931,5764,4741,3166,1790,885,45655,2648,3661,1916,2035,1803,1910
53005,,,,,,33920,32869,26090,25509,27900,26889,16924,9358,5683,205142,21312,23934,11698,9885,5574,4993
53007,,,,,,13369,13647,12221,10275,11962,12670,9565,5129,3542,92380,9596,12760,4804,4312,2392,2023
53011,,,,,,80937,82448,62409,73774,82297,76576,48714,25589,13510,546254,52164,71835,33523,28649,13417,10092
53013,,,,,,917,958,1315,809,1057,1168,910,629,405,8168,1193,1525,405,337,120,116
53015,,,,,,21082,22254,15091,16730,20054,22186,15633,8962,4790,146782,13407,21879,8982,7301,3475,2438
53017,,,,,,11286,11632,9708,8677,9713,9863,7067,3598,2493,74037,5634,9598,4008,3631,2327,1640
53021,,,,,,20889,20354,13472,14836,14410,11702,6902,3578,1933,108076,8499,9380,4767,5096,3848,3953
53027,,,,,,19631,20250,16389,17016,21590,24146,19961,11007,6515,156505,22307,23692,9097,7005,3034,2463
53029,,,,,,15248,15940,16041,14376,17126,19601,16804,9357,5825,130318,16559,22814,7577,5941,2527,1388
53031,,,,,,4678,5074,4441,4670,6926,10954,9248,5980,3356,55327,8957,12161,2918,1795,653,438
