county_fips,household_size_1,household_size_2,household_size_3,household_size_4,household_size_5,household_size_6,population_0_9,population_10_19,population_20_29,population_30_39,population_40_49,population_50_59,population_60_69,population_70_79,population_80,n_total
53039,4830,6778,2150,1768,911,382,5236,5659,3966,4501,5394,6635,4769,2753,1540,40453
53031,8957,12161,2918,1795,653,259,4678,5074,4441,4670,6926,10954,9248,5980,3356,55327
53017,5634,9598,4008,3631,2327,972,11286,11632,9708,8677,9713,9863,7067,3598,2493,74037
53069,1129,1681,458,305,129,57,923,1103,821,875,1152,1442,1105,685,410,8516
53043,2480,3829,1090,837,403,194,2603,2884,2029,2148,2793,3309,2841,1640,890,21137
53005,21312,23934,11698,9885,5574,2828,33920,32869,26090,25509,27900,26889,16924,9358,5683,205142
53037,14399,12664,5126,3598,1403,491,8826,10628,12922,8360,10497,12104,9489,5133,3770,81729
53045,15552,17580,6113,4352,2340,966,13047,13944,10924,11247,14483,17719,14117,8865,4838,109184
53075,16954,12527,4666,3296,1252,470,8033,11644,15438,7890,9398,10896,7557,5512,3436,79804
53071,16191,12672,5128,4295,2420,928,13017,14163,16833,11462,13034,11662,7866,5574,3321,96932
53055,4108,4898,1236,833,320,106,1987,2307,2533,2333,3098,4093,3595,2063,1373,23382
